STATISTIC,Statistic Label,TLIST(A1),Year,C02199V02655,Sex,C04004V04762,Citizenship,UNIT,VALUE
NA,Estimated Population,NA,2021,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,86.7
NA,Estimated Population,NA,2021,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,240
NA,Estimated Population,NA,2021,NA,Both sexes,NA,United Kingdom,Thousand,97.7
NA,Estimated Population,NA,2021,NA,Both sexes,NA,Ireland,Thousand,4430.8
NA,Estimated Population,NA,2021,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,219.4
NA,Estimated Population,NA,2021,NA,Male,NA,All Countries,Thousand,2514
NA,Estimated Population,NA,2021,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,42.1
NA,Estimated Population,NA,2021,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,118.6
NA,Estimated Population,NA,2021,NA,Male,NA,United Kingdom,Thousand,53.6
NA,Estimated Population,NA,2021,NA,Male,NA,Ireland,Thousand,2194.5
NA,Estimated Population,NA,2021,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,105.2
NA,Estimated Population,NA,2021,NA,Female,NA,All Countries,Thousand,2560.6
NA,Estimated Population,NA,2021,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,44.6
NA,Estimated Population,NA,2021,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,121.4
NA,Estimated Population,NA,2021,NA,Female,NA,United Kingdom,Thousand,44.1
NA,Estimated Population,NA,2021,NA,Female,NA,Ireland,Thousand,2236.3
NA,Estimated Population,NA,2021,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,114.2
NA,Estimated Population,NA,2022,NA,Both sexes,NA,All Countries,Thousand,5184
NA,Estimated Population,NA,2022,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,90.6
NA,Estimated Population,NA,2022,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,240.5
NA,Estimated Population,NA,2022,NA,Both sexes,NA,United Kingdom,Thousand,89.3
NA,Estimated Population,NA,2022,NA,Both sexes,NA,Ireland,Thousand,4495.4
NA,Estimated Population,NA,2022,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,268.1
NA,Estimated Population,NA,2022,NA,Male,NA,All Countries,Thousand,2562
NA,Estimated Population,NA,2022,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,43.9
NA,Estimated Population,NA,2022,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,119.9
NA,Estimated Population,NA,2022,NA,Male,NA,United Kingdom,Thousand,48.1
NA,Estimated Population,NA,2022,NA,Male,NA,Ireland,Thousand,2222
NA,Estimated Population,NA,2022,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,128
NA,Estimated Population,NA,2022,NA,Female,NA,All Countries,Thousand,2622
NA,Estimated Population,NA,2022,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,46.6
NA,Estimated Population,NA,2022,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,120.6
NA,Estimated Population,NA,2022,NA,Female,NA,United Kingdom,Thousand,41.2
NA,Estimated Population,NA,2022,NA,Female,NA,Ireland,Thousand,2273.5
NA,Estimated Population,NA,2022,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,140.1
NA,Estimated Population,NA,2023,NA,Both sexes,NA,All Countries,Thousand,5281.6
NA,Estimated Population,NA,2023,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,98.7
NA,Estimated Population,NA,2023,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,243.2
NA,Estimated Population,NA,2023,NA,Both sexes,NA,United Kingdom,Thousand,88.1
NA,Estimated Population,NA,2023,NA,Both sexes,NA,Ireland,Thousand,4524.6
NA,Estimated Population,NA,2023,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,327
NA,Estimated Population,NA,2023,NA,Male,NA,All Countries,Thousand,2606.2
NA,Estimated Population,NA,2023,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,48.7
NA,Estimated Population,NA,2023,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,120.6
NA,Estimated Population,NA,2023,NA,Male,NA,United Kingdom,Thousand,47.5
NA,Estimated Population,NA,2023,NA,Male,NA,Ireland,Thousand,2237.1
NA,Estimated Population,NA,2023,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,152.3
NA,Estimated Population,NA,2023,NA,Female,NA,All Countries,Thousand,2675.4
NA,Estimated Population,NA,2023,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,50
NA,Estimated Population,NA,2023,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,122.6
NA,Estimated Population,NA,2023,NA,Female,NA,United Kingdom,Thousand,40.5
NA,Estimated Population,NA,2023,NA,Female,NA,Ireland,Thousand,2287.5
NA,Estimated Population,NA,2023,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,174.7
NA,Estimated Population,NA,2024,NA,Both sexes,NA,All Countries,Thousand,5380.3
NA,Estimated Population,NA,2024,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,106.7
NA,Estimated Population,NA,2024,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,250.8
NA,Estimated Population,NA,2024,NA,Both sexes,NA,United Kingdom,Thousand,90.3
NA,Estimated Population,NA,2024,NA,Both sexes,NA,Ireland,Thousand,4544.1
NA,Estimated Population,NA,2024,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,388.4
NA,Estimated Population,NA,2024,NA,Male,NA,All Countries,Thousand,2657.2
NA,Estimated Population,NA,2024,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,52.7
NA,Estimated Population,NA,2024,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,123.6
NA,Estimated Population,NA,2024,NA,Male,NA,United Kingdom,Thousand,47.9
NA,Estimated Population,NA,2024,NA,Male,NA,Ireland,Thousand,2250.7
NA,Estimated Population,NA,2024,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,182.3
NA,Estimated Population,NA,2024,NA,Female,NA,All Countries,Thousand,2723.1
NA,Estimated Population,NA,2024,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,54
NA,Estimated Population,NA,2024,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,127.2
NA,Estimated Population,NA,2024,NA,Female,NA,United Kingdom,Thousand,42.4
NA,Estimated Population,NA,2024,NA,Female,NA,Ireland,Thousand,2293.4
NA,Estimated Population,NA,2024,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,206.1
NA,Estimated Population,NA,2025,NA,Both sexes,NA,All Countries,Thousand,5458.6
NA,Estimated Population,NA,2025,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,112.4
NA,Estimated Population,NA,2025,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,258.4
NA,Estimated Population,NA,2025,NA,Both sexes,NA,United Kingdom,Thousand,91.3
NA,Estimated Population,NA,2025,NA,Both sexes,NA,Ireland,Thousand,4570.2
NA,Estimated Population,NA,2025,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,426.4
NA,Estimated Population,NA,2025,NA,Male,NA,All Countries,Thousand,2703.2
NA,Estimated Population,NA,2025,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,57.3
NA,Estimated Population,NA,2025,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,127.7
NA,Estimated Population,NA,2025,NA,Male,NA,United Kingdom,Thousand,48.3
NA,Estimated Population,NA,2025,NA,Male,NA,Ireland,Thousand,2263.2
NA,Estimated Population,NA,2025,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,206.7
NA,Estimated Population,NA,2025,NA,Female,NA,All Countries,Thousand,2755.4
NA,Estimated Population,NA,2025,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,55.1
NA,Estimated Population,NA,2025,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,130.7
NA,Estimated Population,NA,2025,NA,Female,NA,United Kingdom,Thousand,43
NA,Estimated Population,NA,2025,NA,Female,NA,Ireland,Thousand,2307
NA,Estimated Population,NA,2025,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,219.7
